text,true_label,predicted,confidence,text_length,length_bin,confidence_bin,error_type
"Waiting for green cards, Indian visa-holders see hope in Trump review SAN FRANCISCO (Reuters) - When Gokul Gunasekaran was offered a full scholarship for a graduate program in electrical engineering at Stanford University, he saw it as the chance of a lifetime. He had grown up in Chennai, India, and had a solid job offer with a large oil company after getting his undergraduate degree. He came to America instead, got the Stanford degree and now works as an engineer at a data science startup in Silicon Valley. But for the past five years, he has been waiting for a green card that would give him full legal rights as a permanent resident. In the meantime, he is in a holding pattern on an H1-B visa, which permits him to live and work in the United States but does not allow him easily to switch jobs or start his own company. “It was a no-brainer when I came to this country, but now I’m kind of regretting taking that scholarship,” said Gunasekaran, 29, who is also vice president with a non-profit group called Immigration Voice that represents immigrants waiting for green cards.  Immigration Voice estimates there are some 1.5 million H1-B visa holders in the country waiting for green cards, many of whom are from India and have been waiting for more than a decade. Many of these immigrants welcomed President Donald Trump’s executive order this week to the federal departments overseeing the program to review it, a move that may lead to H1-B visas being awarded to the highest-paying, highest-skilled jobs rather than through a random lottery. Their hope is that merit-based H1-Bs might then lead to merit-based green cards. “I think less random is great,” said Guru Hariharan, the CEO and founder of Boomerang Commerce, an e-commerce startup. Hariharan, who was previously an executive at Amazon.com Inc and eBay Inc, spent 10 years waiting for his green card and started his own company as soon as he got it. Green cards can be a path to naturalization and Hariharan expects to become a U.S. citizen soon. H1-B visas are aimed at foreign nationals in occupations that generally require specialized knowledge, such as science, engineering or computer programming. The U.S. government uses a lottery to award 65,000 such visas yearly and randomly distributes another 20,000 to graduate student workers. The H1-B and the green card system are technically separate, but many immigrants from India see them as intimately connected. The number of green cards that can go to people born in each country is capped at a few percent of the total, without regard to how large or small the country’s population is. There is a big backlog of Indian-born people in the line, given the size of India’s population - 1.3 billion - and the number of its natives in the United States waiting for green cards. That leaves many of those immigrants stuck on H1-B visas while they wait, which they say makes them almost like “indentured servants,” said Gaurav Mehta, an H1-B holder who works in the financial industry.  Mehta has a U.S.-born son, but he could be forced to take his family back to India at any time if he loses his job and cannot find another quickly. “He’s never been to my country,” Mehta said of his son. “But we’ll have no choice if we have to go. Nobody likes to live in constant fear.”  The H1-B visa is tied to a specific employer, who must apply for the visa and sponsor the employee for a specific job laid out in the visa application. To switch employers, the visa holder must secure their paperwork from their current employer and find another employer willing to take over their visa. Some H1-B holders suspect that employers purposely seek out Indian immigrants because they know they will end up waiting for green cards and will be afraid to leave their employers. But changing the green card system away from country caps to a merit-based system would require an act of Congress. Some  executives also worry that allocating H1-Bs and green cards based on salary - while it would be done to counter the argument that immigrants undercut American workers - would hurt startups that cannot afford high wages. In the meantime, H1-B holders like Nitin Pachisia, founding partner of a venture capital firm called Unshackled Ventures, are taking more practical measures. His firm specializes in taking care of the legal paperwork so that H1-B holders can start their own companies, a process that is possible but tricky. Pachisia is hopeful that changes to the H1-B visa program could revive interest in making the entire system, from H1-B visas to green cards and eventual citizenship, more merit-based and focused on immigrants who are likely to start companies and create jobs. “If the purpose of our high-skilled immigration program is to bring in the most talented people, let’s use that as a lens. From that perspective, it’s a good thing we can focus on the most talented, and I’d say most entrepreneurial, people,” he said. (This version of the story has been refiled to add missing word “startup” in paragraph two) ",0,1,0.5542006761025179,5039,very long (2K+),borderline (0.4-0.6),False Positive (Real->Fake)
"PUTIN ACCUSES U.S. Of Leaking Flight Path Of Russian Plane Shot Down By Turkey…Turkey Buying ISIS Oil Countdown until Obama is OUT OF OFFICE: 347 days 8 hours 29 minutes 30 secondsPresident Vladimir Putin said on Thursday that Russia had given prior information to the United States of the flight path of the plane downed by Turkey on the Syrian border. The American side, which leads the coalition that Turkey belongs to, knew about the location and time of our planes  flights, and we were hit exactly there and at that time,  Putin said at a joint press conference with French counterpart Francois Hollande in the Kremlin. Putin said the Russians had given prior information to the U.S. of the flight path of the plane   but the U.S. had  leaked  the information to Turkey.Ahead of the Hollande talks, Putin and Turkish President Recep Tayyip Erdogan traded barbs, with the Russian leader saying he was waiting for an apology and Erdogan ruling out any such move.President Recep Tayyip Erdogan says Turkey s right to protect its borders must be respected, after the military shot down a Russian plane on the Syrian border for allegedly violating its airspace.Putin on Thursday dismissed as  rubbish  Turkey s claim that it would not have shot down the jet if it had known it was Russian. They [our planes] have identification signs and these are well visible,  Putin said.  Instead of [ ] ensuring this never happens again, we are hearing unintelligible explanations and statements that there is nothing to apologise about. Putin has also accused Turkey of buying oil from the Islamic State jihadist group, whose financing heavily relies on the sale of energy resources.Putin said there was  no doubt  that oil from  terrorist-controlled  territory in Syria was making its way across the border into Turkey. We see from the sky where these vehicles [carrying oil] are going,  Putin said.  They are going to Turkey day and night. These barrels are not only carrying oil but also the blood of our citizens because with this money terrorists buy weapons and ammunition and then organise bloody attacks,  he added.Via: Yahoo",1,0,0.14984980549138352,2123,very long (2K+),uncertain (<0.4),False Negative (Fake->Real)
"Factbox: Review of U.S. national monuments could unlock new energy reserves  (In this June 9 story, corrects name of company in paragraph 6 to California Resources Corporation; adds “million” in final paragraph) WASHINGTON (Reuters) - U.S. Interior Secretary Ryan Zinke will make a recommendation to the White House on Saturday on whether to rescind or resize the Bears Ears monument in Utah, setting the tone for the Trump administration’s broader study of which lands protected by past presidents should be reopened to development. It is unclear when the decision will be made public.  While the land encompassed by the 1.35 million-acre Bears Ears monument is not believed to contain massive amounts of coal, oil or gas, several other monuments on Zinke’s review list may, making the Bears Ears decision important to industry groups. Here is a list: Barack Obama designated this 704,000 acres of southeastern Nevada a national monument in 2015. The area sits in the Chainman Shale play, which is believed by some in the drilling industry to be a promising reserve.  Barack Obama designated this 1.35 million acres in southeastern Utah a national monument in late 2016, shortly before leaving office. The area, which surrounds a pair of iconic buttes, has moderate oil and gas potential, and one oil company, EOG Resources, was granted drilling leases within its boundaries shortly before the designation.  Bill Clinton designated this 178,000-acre area in southwestern Colorado a national monument in 2000, but because it was already an active zone for the oil and gas industry, he granted drillers an allowance to continue to operate there, with limitations. Bill Clinton designated this 204,000-acre area in California a national monument in 2001. It is located in an area that has seen oil exploration in the past and has some moderate potential for commercial reservoirs. California Resources Corporation has pre-existing drilling rights on part of the monument, but has not yet made a big find. GRAND STAIRCASE-ESCALANTE: Bill Clinton designated this 1.9 million acre swath of southern Utah a national monument in 1996. It holds roughly 62 billion tons of coal, along with coal bed gas, and potentially commercial quantities of oil, according to the Utah Geological Survey. (here ) Bill Clinton designated this 495,000 acre area of central Montana a national monument in 2001. In 1995, the U.S. Geological Survey estimated the area held somewhere between 58.2 and 719.9 billion cubic feet of natural gas, along with between 14 million and 180 million barrels oil. (here )",0,1,0.8622209859969117,2579,very long (2K+),confident (0.8+),False Positive (Real->Fake)
"BREAKING NEWS: President Trump Announces Major Policy Shift on Transgender People in the US Military President Trump just tweeted out a new policy in the US military that was made after consultation with military experts and Generals:Trump made the announcement, which would represent a major shift in military policy, on Twitter. He said he had made the decision after consulting with  my generals and military experts. After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow Transgender individuals to serve in any capacity in the U.S. Military,  Trump tweeted. Our military must be focused on decisive and overwhelming victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. Thank you ",1,0,0.036532204881783964,838,long (500-2K),uncertain (<0.4),False Negative (Fake->Real)
"BREAKING: Activist Appeals Court Rules Against Trump…Trump Comes Out Swinging…Tweets Awesome Reply A federal appeals court ruled that the U.S. will remain open to refugees and visa holders from seven Muslim-majority countries, rejecting a bid by the Trump administration to reinstate a travel ban in the name of national security.The San Francisco-based appeals court on Thursday spurned the government s request to close the doors after days of public debate over President Donald Trump s attacks on the judicial system and a rush of fearful immigrants. The ruling increases the likelihood that the administration will ask the Supreme Court to step into a case that s the biggest test of Trump s executive power yet .The public  has an interest in free flow of travel, in avoiding separation of families, and in freedom from discrimination,  a three-judge panel said in a unanimous 29-page ruling.A VICTORY FOR TECH COMPANIES WANTING CHEAP LABOR:The panel s ruling in favor of immigrants is a victory not only for Washington and Minnesota   the states that sued   but for Facebook Inc., Google Inc. and Microsoft Corp., which said in court papers that the measure would hinder their global businesses.Read more: Bloomberg Business",1,0,0.18406653119113392,1231,long (500-2K),uncertain (<0.4),False Negative (Fake->Real)
"Obama says journalists partly to blame for tone of presidential race WASHINGTON (Reuters) - President Barack Obama on Monday laid some of the blame for the tone of the presidential campaign on political journalism that has been pinched by shrinking newsroom budgets and cheapened by a focus on retweets and likes on social media. In a speech to a journalism awards dinner, Obama urged journalists to ask tougher questions of the candidates vying to be president. He voiced dismay over the vulgar rhetoric, violence at rallies and unrealistic campaign pledges that have continually grabbed headlines, in a thinly veiled reference to Republican front-runner Donald Trump. “The number one question I’m getting as I travel around the world or talk to world leaders right now is, ‘What is happening in America?’ about our politics,” Obama said, describing international alarm over whether the United States will continue to function effectively. “It’s not because around the world people have not seen crazy politics. It is that they understand America is the place where you can’t afford completely crazy politics,” he said. “When our elected officials and our political campaigns become entirely untethered to reason and facts and analysis, when it doesn’t matter what’s true and what’s not, that makes it all but impossible for us to make good decisions on behalf of future generations,” Obama said. He said the media landscape has changed since his first presidential campaign in 2008, when “there was a price if you said one thing and then did something completely different. “The question is, in the current media environment, is that still true? Does that still hold?” he said. He said news organizations have a responsibility to dig deeper despite the faster pace of “this smartphone age” and steep financial pressures in the news business. Voters “would be better served if billions of dollars in free media came with serious accountability, especially when politicians issue unworkable plans or make promises they can’t keep,” Obama said. The New York Times earlier this month reported that Trump has so far earned almost $1.9 billion worth of media coverage, compared with $313 million for the next closest Republican challenger, U.S. Senator Ted Cruz of Texas, and $746 million for Democratic front-runner Hillary Clinton. ",0,1,0.7892668056900038,2330,very long (2K+),moderate (0.6-0.8),False Positive (Real->Fake)
"Instant View: Trump orders military strikes on Syrian air base (Reuters) - U.S. President Donald Trump said on Thursday he ordered a targeted military strike against an airfield controlled by Syrian President Bashar al-Assad’s forces. A deadly chemical attack was launched this week from that base. “This action was appropriate and just.” “Resolving the years-long crisis in Syria is a complex task, but Bashar al-Assad must be held accountable and his enablers must be persuaded to change course. I look forward to the administration further engaging Congress in this effort.”  “Building on tonight’s credible first step, we must finally learn the lessons of history and ensure that tactical success leads to strategic progress. That means following through with a new, comprehensive strategy in coordination with our allies and partners to end the conflict in Syria.” “It is critical that Assad knows he will no longer enjoy impunity for his horrific crimes against his own citizens, and this proportional step was appropriate. As we move forward, it will be important for the administration to engage with Congress and clearly communicate its full strategy to the American people.” “Assad was warned, repeatedly, by the U.S. and the U.N. that the intentional targeting of innocent men, women and children is intolerable. Now Assad has been caught red-handed carrying out another abhorrent chemical attack, and the administration has taken a measured response.” REPRESENTATIVE ADAM SCHIFF, RANKING MEMBER, HOUSE INTELLIGENCE “I will be reintroducing an authorization for use of military force against ISIS and al Qaeda when Congress returns to session. Congress cannot abdicate its responsibility any longer and should vote on any use of force not made in self defense. This is necessary whether action is taken against terrorist groups or, as here, against regime capabilities.” “Making sure Assad knows that when he commits such despicable atrocities he will pay a price is the right thing to do.‎ It is incumbent on the Trump administration to come up with a strategy and consult with Congress before implementing it.” SENATOR BEN CARDIN, TOP DEMOCRAT ON SENATE FOREIGN RELATIONS “I cannot emphasize this enough, any longer-term or larger military operation in Syria by the Trump administration will need to be done in consultation with the Congress. Furthermore, it is the president’s responsibility to inform the legislative branch and the American people about his larger policy in Syria, as well as the legal basis for this action and any additional military activities in that country.” SENATOR MARCO RUBIO, REPUBLICAN ON SENATE FOREIGN RELATIONS “What must follow is a real and comprehensive strategy to ensure that Assad is no longer a threat to his people and to U.S. security, and that Russia no longer has free rein to support his regime.” “While we all condemn the atrocities in Syria, the United States was not attacked. The president needs congressional authorization for military action as required by the Constitution, and I call on him to come to Congress for a proper debate. Our prior interventions in this region have done nothing to make us safer, and Syria will be no different.” “My preliminary briefing by the White House indicated that this was a measured response to the Syrian nerve gas atrocity. Any further action will require close scrutiny by Congress, and any escalation beyond air strikes or missile strikes will require engaging the American people in that decision.” “While I’m encouraged that the Trump administration has felt compelled to act forcefully in Syria against the Assad regime, I’m gravely concerned that the United States is engaging further militarily in Syria without a well-thought-out, comprehensive plan. Frankly, the president’s actions today generate more questions than answers.” ",0,1,0.9842851961343118,3841,very long (2K+),confident (0.8+),False Positive (Real->Fake)
"Chicago black pastors shun mayor's annual King breakfast CHICAGO (Reuters) - A group of black pastors boycotted Chicago Mayor Rahm Emanuel’s annual Martin Luther King breakfast on Friday, over his handling of police killings, and one pastor attended the event but interrupted it with protest chants before being escorted out. A handful of religious leaders joined protesters who blocked one entrance to the Hyatt Hotel where the breakfast was being held, chanting demands that Emanuel step down. But hundreds of Chicago’s African-American leaders did attend the breakfast - started in the 1980s by the city’s first black mayor, Harold Washington - and the event to honor civil rights leader King. “This boycott is not in opposition to Harold Washington nor Martin Luther King Jr. This boycott stands for the very cause that they stood for, it was through protesting that achievement was made. To sit by and do nothing is to endorse what is going on,” said Bishop Edgar Mullins, pastor of Grace Family Worship Center church, one of the boycotters. Local media showed footage of Rev. Matthew Ross interrupting the breakfast and chanting “16 shots and a cover-up,” in reference to the 2014 fatal shooting of Laquan McDonald, before security guards escorted him from the conference room. Police killings, mostly of men of color, have led to protests around the United States in the past year and a half.  A wave of protests over police killings in Chicago, mostly of young black men, has forced Emanuel to fire his police chief and accept a federal probe of the police department. The city has also reversed its previous policy not to release video footage of police killings. On Thursday officials made public the images from surveillance cameras that show police killing Cedric Chatman, 17, in January 2013. Lawyers for his family say the video contradicts police statements that Chatman, a carjacking suspect, had a dark object that he pointed at them. Alderman Anthony Beale of the city’s ninth ward was among black leaders who attended the breakfast on Friday. He said he was there to honor King’s legacy, which made protests possible. “Either you’re part of the problem or part of the solution. I choose to be part of the solution ... Now is a golden opportunity for us to put real change in this city,” he said. ",0,1,0.9584315920909425,2315,very long (2K+),confident (0.8+),False Positive (Real->Fake)
TRUMP FINANCIAL ADVISOR Has Great Tax News For Job Creators: “I think they need to get that done quickly”…MAGA! [VIDEO] President-elect Donald J. Trump s economic advisor Steve Moore told Neil Cavuto the incoming administration may introduce two separate tax bills to increase chances of prompt Congressional approval. Moore says Trump s tax reform plan should primarily focus on slashing the corporate tax rate to somewhere between 15% and 20%. ,1,0,0.24365988319500692,446,medium (100-500),uncertain (<0.4),False Negative (Fake->Real)
"Benghazi Survivor On Hillary Clinton: “I Don’t Think She Has A Soul” #FeelTheBern of incompetence A survivor of the 2012 Benghazi siege that claimed the lives of four Americans and subject of the movie  13 Hours  repudiated Hillary Clinton Thursday night in Connecticut s largest Democratic stronghold.Kris  Tanto  Paronto, a military contractor and former Army Ranger, said Clinton failed as secretary of state to send in adequate reinforcements when the U.S. mission in Libya was under terrorist attack.Part of the security team that tried to defend the compound, Paronto headlined the annual Lincoln Day fundraising dinner of Bridgeport Republicans, who make up less than 10 percent of the city s electorate.Paronto stopped short of endorsing the GOP s presumptive presidential nominee, Donald Trump, but said he will work with Republicans to shine a light on what happened in the confusion of the attack that killed U.S. ambassador to Libya J. Christopher Stevens on Sept. 11, 2012. I don t think she has a soul,  Paronto said of Clinton during an interview with Hearst Connecticut Media.  I hope it haunts her. I don t think it will. A spokesman for Clinton, who campaigned in Bridgeport ahead of her primary victory last month in Connecticut, declined to comment.Paronto said he has no doubt that there is a nexus between the Benghazi attack and the email scandal that has dogged Clinton, who has been criticized for using a personal server to send and receive classified material when she was secretary of state. He repeated accusations that Clinton misled the victims  families over what incited the attack. She lied to the family members, period,  Paronto said.  People are believing her over the family members of teammates that I lost. Clinton has denied telling the victims  families that an anti-Islam video was to blame for sparking the attack.Andy Wainwright, a Republican State Central Committee member from Stamford, said he recently saw  13 Hours  and was mesmerized. It was not a political movie,  he said.  There was no finger-pointing. It highlights the bureaucracy and a lot of times the military being handcuffed. For entire story: CT Post",1,0,0.02929931184385209,2162,very long (2K+),uncertain (<0.4),False Negative (Fake->Real)
